name,brief_description,value,eligibility,deadline,field_of_study,application_instructions,official_scholarship_website,id,level
ARTBA Highway Worker Memorial Scholarship,Missing data,Missing data,*Senior who is a son/daughter of a highway worker who has died or become permanantly disabled in roadway construction zone accidents                                                    *GPA of 2.0 or higher                                                            ,April,Missing data,Missing data,https://www.artba.org/foundation/scholarship-awards/,ZnwMv2EHPR5,Missing data
Annual Zeb Scholarship,Missing data,Missing data,*JUNIOR or SENIOR student who is a USBC youth member                                                         *GPA of 3.0 or higher,April,Missing data,Missing data,https://www.bowl.com/Scholarships_and_Awards/Scholarships_and_Awards_Home/USBC_Youth_scholarships/,8uukf9USfZC,Missing data
Army Emergency Relief-MG James Ursano Scholarship,Missing data,Missing data,"*Senior must be a child or stepchild of an active duty, retired, or veteran member of the US Army.                                            *Veteran must be registered in the Defense Eligibility Reporting System (DERS)                                                     *GPA of 2.0 or higher",April,Missing data,Missing data,https://www.aerhq.org/Apply-for-Scholarship/Dependent-Children,sjCAy2sfMys,Missing data
Castaic Lions Club - Lion Walt James Scholarship,Missing data,Missing data,*Senior student living in Castaic or Val Verde     ,April,Missing data,Missing data,http://castaiclionsclub.org/,qIQAjpxBGfm,Missing data
Curt Greene Memorial Scholarship,Missing data,Missing data,*Senior student who has demonstrated a passion for harness racing                                       *Demonstrates financial need,April,Missing data,Missing data,https://hhyf.org/wp-content/uploads/2019/12/2019curtgreenescholarship.pdf,GpzAQhAu8Au,Missing data
Davis-Putter Scholarship Fund,Missing data,Missing data,"*Student who demonstrates financial need.                                                                         *Active in the progressive movemen  against racism, sexism, homophobia or other forms of oppression building the movement for economic justice; and creating peace through international anti-imperialist solidarity.                                               * Applicants must have participated in activities in the US.",April,Missing data,Missing data,http://www.davisputter.org/apply/,pJEJNUO5XLA,Missing data
Dollars 4 Tic Scholars,Missing data,Missing data,*Senior witha 2.5 GPA or higher                                   *Diagnosed with Tourette's Syndrome/Chronic Tic Disorder                                               ,April,Missing data,Missing data,https://www.dollars4ticscholars.org/2021-undergrad-application/,TKRK8oo8Pxy,Missing data
Edison International -Edison Scholars Program,Missing data,Missing data,"*US citizen or permanent resident                     *Planning on majoring in any of the following disciplines:  Math, Science, Engineering, Computer Science/Information Systems, Business, or Economics                                       *Has a total GPA of 2.5 to 3.5                      *Has met the CSU placement standards *Financial Need",April,Missing data,Missing data,https://www.edison.com/home/community/edison-scholars.html,jNuvCdcKr0H,Missing data
Education is Power Scholarship,Missing data,Missing data,*Senior student who has hemophilia or von Willerbrand Disease,June,Missing data,Missing data,https://www.hemophiliafed.org/scholarships/education-power-scholarship/,ZpqUV0P7iq6,Missing data
Elizabeth Nash Foundation Scholarship,Missing data,Missing data,*Senior student who has Cystic Fibrosis,April,Missing data,Missing data,http://www.elizabethnashfoundation.org/scholarships.html,8InDm9ZkpzH,Missing data
FIDM National Scholarship Competition,Missing data,Missing data,*Sesnior student planning to attend FIDM,April,Missing data,Missing data,https://fidm.edu/en/admissions/financial+aid/scholarships/national+scholarship+competition/,db5zd6TSB2W,Missing data
Folds of Honor Scholarship,Missing data,Missing data,"*Student who is a child of one of the following:            1) An active duty or reserve soldier, sailor, airman, Marine or Coast Guardsman killed or disabled in the line of duty.                                    2)  A veteran who died of any cause after being classified as having a service-connected disability.                                                                             3)  A service member forcibly detained or interned by a foreign power in the line of duty.
",April,Missing data,Missing data,http://scholarships.foldsofhonor.org/,XfXp7CsUaN2,Missing data
Fred Luster Education Foundation Scholarship,Missing data,Missing data,"*Senior planning on attending 4-year college       *Majoring in chemistry, business or engineering                                                                *GPA of 3.0 or higher",April,Missing data,Missing data,http://www.ahbai.org/scholar/scholar.html,oeeLZh8BI7n,Missing data
Golf Course Superintendent Association of America (GCSAA) Legacy Awards,Missing data,Missing data,*Senior student who will be attending a 2-yr. or 4-yr. college after graduation.                                                                  *Student's parents or gradnparents must have been a GCSAA member for five or more years.,April,Missing data,Missing data,http://www.gcsaa.org/_common/templates/GcsaaSubNavigationLayout.aspx?id=4859&LangType=1033,h7NUTLHGwyB,Missing data
Incight Resources for Self-Empowerment,Missing data,Missing data,"*Senior student with documented disability (physical, learning, cognitive)                                 *Planning full time attendance at vocational school, 2-yr. college, or 4-yr. college  ",April,Missing data,Missing data,https://www.incight.org/scholarship,AP0RSezN5Rp,Missing data
Jaycees - Santa Clarita Valley Chapter ,Missing data,Missing data,*Senior student with a GPA of 2.0 or higher   *Demonstrates a commitments to and involvement in volunteer community service,April,Missing data,Missing data,http://www.scvjaycees.com/ClubPortal/ClubStatic.cfm?clubID=892&pubmenuoptID=8518,QP8puuLuH8B,Missing data
Lockheed Martin STEM Scholarship,Missing data,Missing data,"*Senior student with a 2.5 GPA or higher                                 *US Citizen                                                                    *Enrolling in 4-yr college in the US                            *Majoring in Aerospace Engineering, Computer Engineering, Mechanical Engineering, or Physics                                               *Demonstrates Financial Need                                                         *Willing to consider a paid internship with Lockheed Martin following freshman, sophomore, or junior year of college.",April,Missing data,Missing data,https://learnmore.scholarsapply.org/lockheedmartin/,tN5iV6JvmMH,Missing data
Men's College Scholarship,Missing data,Missing data,*Senior male student who will be attending 4-year college after graduation                                                      *Academic Excellence                                                                     *Community Service                               *Extra-Curricular Involvement,April,Missing data,Missing data,https://foundationfe.org/highschoolscholarship/,jXIHK7ewAbr,Missing data
Molisani of Southern Cliafornia,Missing data,Missing data,Senior student of Italian origin who are either born in the Molise Region of Italy or descendants through ancestry or marriage of natives from Molise.,April,Missing data,Missing data,Scholarship application available in the counseling office.,SReb4AlaoTZ,Missing data
National Association of Theater Owners of California/Nevada,Missing data,Missing data,"*Employee of a NATO member theater (Edwards Theater IS one of them!)                   *Senior student who will have worked 500 hours between April 16, 2006 and April 15, 2007                                                                 *GPA of 3.0 or higher",April,Missing data,Missing data,http://www.natocalnev.org/scholarship.html,4gmPVklG9b1,Missing data
National Restaurant Association-Educational Foundation,Missing data,Missing data,*Seniors who plan to enroll in an accredited restaurant/foodservice-related program in a college or tech. Prep school                                                                *Minimum of 250 hours of restaurant/foodservice-related work experience  *Minimum GPA of 2.75,April,Missing data,Missing data,http://www.nraef.org/scholarships/highschool/,lcRWxACCdjk,Missing data
Salvadoran American Leadership and Education Fund,Missing data,Missing data,* Senior student who isof Central American or other Latino ethnicity                                                                * Must demonstrate financial need                                                    * GPA of 2.5 or higher                                                                    *Winners must be willing to donate 52 hours to SALEF assigned community service,April,Missing data,Missing data,http://www.salef.org/#!__programs,h4r6DDbtjs5,Missing data
Santa Clarita Association of California School Administrators,Missing data,Missing data,"*Senior who has attended schools in SCV for at least seven years, including at least one year at the elementary school level.                                   *Must have at least 2.5 GPA,                                    *Must have already applied to trade school, community college, and/or four-year college/university",April,Missing data,Missing data,Ask the VHS scholarship coordinator for a paper copy,LB1MoA88IXy,Missing data
Santa Clarita Valley Education Foundation Scholarship,Missing data,Missing data,*Senior student from SCV who is a legal resident of US.                                                       * Will be a graduate of a WS Hart District high school                                                                 *Planning on 2-yr. or 4-yr college after graduation,April,Missing data,Missing data,http://www.scveducationfoundation.org/home,2gqkFWYzzcf,Missing data
Signet Essay Contest Scholarship,Missing data,Missing data,*JUNIOR or senior student,April,Missing data,Missing data,http://www.penguin.com/services-academic/essayhome/,vh39Desm7KJ,Missing data
Society of Hispanic Professional Engineers,Missing data,Missing data,"*Senior student of Hispanic descent                       * GPA of 3.0 or higher                                         * Will major in science, technology, engineering, math, or related field",April,Missing data,Missing data,https://www.applyahetems.org/ahetems/scholarship.action?application.toScholarship=5,77Xcfm56k7c,Missing data
Student View Scholarship,Missing data,Missing data,*Any senior student (random drawing after filling out college survey),April,Missing data,Missing data,www.student-view.com,85v3QkeDRDO,Missing data
"Sunkist ""AW Bodine"" Scholarship",Missing data,Missing data,* Senior student whose family has involvement with California agriculture                                     *Demonstrates financial need,April,Missing data,Missing data,http://www.sunkist.com/about/scholarship_application.pdf,JxSvc1or5tR,Missing data
Telesis Community Credit Union Scholarship,Missing data,Missing data,*Senior student in LA county                             *GPA of 3.0 or higher                                      *Excellent track record of community service,April,Missing data,Missing data,http://www.telesiscommunitynpt.org//scholarships.aspx,QUtJQ8bKCip,Missing data
USC George Woolery Triangle Achievement Scholarship,Missing data,Missing data,"*Senior MALE who demonstrates excellence in academics, leadership, and organized athletics                                                             *Intention of entering USC in the fall",April,Missing data,Missing data,Ask the VHS scholarship coordinator for application or further information,Np09W77FL7E,Missing data
Vegetarian Resource Group,Missing data,Missing data,*Senior student who is a vegetarian and has promoted vegetarianism in his/her school or community,April,Missing data,Missing data,http://www.vrg.org/student/scholar.htm,kNuPd1df7lh,Missing data
William S. Hart Baseball and Softball,Missing data,Missing data,"*Senior who participated in the Hart Pony Baseball or ASA Softball program for at least 3 years (2 years of which were in the 12 and under level, and 1year which was in the 14 and under level.)                                                             *GPA of 3.0 or higher                                          *Planning on attending a 2-year or 4-year college",May,Missing data,Missing data,Theapplication is available in the counseling office scholarship drawer or online at www.hartbaseball.org,fv3YTy2gVrI,Missing data
Women Peace Officers Association of California,Missing data,Missing data,*Senior who is either an immediate family member of a WPOA member OR interested in law enforcement as a career,April,Missing data,Missing data,http://www.wpoaca.com/scholarship.htm,uWBlPoHsG2r,Missing data
World Studio Foundation Scholarship,Missing data,Missing data,"*Senior student who is a US citizen or a permanent resident                                             *Must be pursuing an undergraduate degree in the fine or commercial arts, design or architecture and plan to enter a caeer in the creative professions                                             *Minority status is a significant factor in decision                                                              *GPA of 2.0 or higher                                                               *Financial need
",March,Missing data,Missing data,http://scholarships.worldstudioinc.com/wp-content/uploads/Worldstudio_AIGA_2012_Scholarships.pdf,nop2KsFJTac,Missing data
AHLA Scholarship,Missing data,Missing data,"*Senior who is employed ( at least 20 hours/wk) at a hotel or lodging establishment that is a member of AH&LA,                                                 *Minimum of 12 months employed at hotel, OR,                                                                   *be a dependant of an employee who meets the above eligibility",May,Missing data,Missing data,https://www.ahlafoundation.org/academic-scholarships,97EdRt4Wiwm,Missing data
B. Davis Scholarship,Missing data,Missing data,*JUNIOR or SENIOR student                                                                 *Has shown leadership in school or community,May,Missing data,Missing data,http://studentawardsearch.com/scholarships.htm,F9X6HnmeYG2,Missing data
Brower Youth Awards,Missing data,Missing data,*Senior student who is a youth environmental change leader between the ages of  13 to 22.  *Group leadership skills highly recommended.,May,Missing data,Missing data,http://www.broweryouthawards.org/apply/,SxtRtQhsNbr,Missing data
"California State University, LA",Missing data,Missing data,*Senior student who is a US citizen                         *GPA of 3.0 or higher                                       *Must be provisionally accepted to CSULA        ,May,Missing data,Missing data,https://www.calstatela.edu/financialaid/scholarships,W9gCMS6xWSP,Missing data
Cameron Impact Scholarship,Missing data,Missing data,*Current JUNIOR who is a US Citizen                                    *UNweighted GPA of 3.7 or higher                                 *Planning to attend 4-year college after graduation                                                                        *Excels in a borad variety of extracurricular activities                                                                         *Motived leader with a strong work ethic and social acumen                                           *Demonstrates active participation in community service and civic-minded arenas        ,May,Missing data,Missing data,https://www.bryancameroneducationfoundation.org/,GsAVozP6HgY,Missing data
Dinah Shore Scholarship,Missing data,Missing data,"*Senior FEMALE who has played in a minimum of 50% of a high school golf team's scheduled events or has played golf ""regularly"" for the past two years.                                                             *GPA of 3.2 or higher                                            *Will NOT be playing on a college golf team",May,Missing data,Missing data,https://www.girlsgolf.org/about/scholarships/dinah-shore,w3rR6tP8R2P,Missing data
Eastern Orthodox Committee on Scouting (EOCS) Scholarship,Missing data,Missing data,"*Senior student who is a member of the Boys or Girls Scouts of America and has earned his/her Eagle Scout/Gold Award                                   *Be an active member of an Eastern Orthodox Church and must have received the Alpha Omega Religious Scout Award                                                  *Have demonstrated practical citizenship in their church, school, Scouting unit, and community.                                               *Will attend a 4-yr. college after graduation",May,Missing data,Missing data,http://eocs.org/religious-awards/scholarship/,sk4FBhkBaYe,Missing data
Elsie Mae White Memorial Scholarship,Missing data,Missing data,"*Senior, African-American student planning on vocational training, 2-yr. college, or 4-yr. college after graduation                                   *GPA of 2.8 or higher                                        *Financial need",May,Missing data,Missing data,https://columbusfoundation.org/students/scholarships/scholarship-detail/ElsieMaeWhiteMemorialScholarshipFund/85,ATRj6tbWwj0,Missing data
Fifth Month Scholarship,Missing data,Missing data,*Student who is 13 years or older and planning on attending college after graduation,May,Missing data,Missing data,https://www.unigo.com/scholarships/our-scholarships/fifth-month-scholarship,oVTv2BqiRkh,Missing data
Fil-Am Association of SCV,Missing data,Missing data,"*Senior student who is of Filipino descent whose parents reside in SCV.                                    *GPA of 3.5 or higher                                                                   *Must be involved in extracurricular activities in the school, community, or the Fil-Am Association",May,Missing data,Missing data,Applications available in the counseling office scholarship drawer or ask the VHS scholarship coordinator,8nqPKMHgEab,Missing data
Harris Personal Injury Scholarship,Missing data,Missing data,* Senior student who has suffered a serious injury and is committed to demonstrating a determination to rebuild his/her life by attending college. ,May,Missing data,Missing data,http://harrispersonalinjury.com/san-jose/,EG2jRb7BXnG,Missing data
Hemophilia Federation of America Scholarship,Missing data,Missing data,"*Senior student who is diagnosed with hemophelia or is a child, gradchild, or other significant family member of a person diagnosed with  hemophilia or  von Willebrands",May,Missing data,Missing data,http://www.hemophiliafed.org/programs/educational-scholarships/hfa-scholarships/,nixZ2Qbk87k,Missing data
India Heritage Scholarship Awards,Missing data,Missing data,"*Senior student who will be graduating from high school this year                                        *One or both parents of Asian Indian Origin  *Demonstrate excellence in one or more of the following categories:  General Academics, Science, Visual & Performing Arts, Community Service, and/or Sports                                                              $10 application fee",May,Missing data,Missing data,http://www.la-indiacenter.com/page2.htm,7Lwlnqx5kl1,Missing data
Jacobsen Scholarship Fund,Missing data,Missing data,*Active members of the Church of Jesus Christ of Latter-day Saints                                                 *US Citizen                                                          *GPA of 2.75 or higher                                        *Financial Need,May,Missing data,Missing data,http://students.asu.edu/files/Jacobsen%20Scholarship.pdf,AgT3yeEdusS,Missing data
James Beard Foundation,Missing data,Missing data,*Senior student who is planning on attending a culinary school after graduation,May,Missing data,Missing data,http://www.jamesbeard.org/index.php?q=node/65,Xv864XzAbU0,Missing data
Joseph Lipman Scholarship,Missing data,Missing data,*Senior student who is a high school athlete           *Must have overcome diversity during high school athletic career                                                                 *MUST BE NOMINATED BY COACH BY May 1st,May,Missing data,Missing data,http://www.nhsca.com/index.php?option=com_content&view=article&id=90:scholarships&catid=38:athletes,8S6uZDr1SHf,Missing data
Kyle Lee Foundation Scholarship,Missing data,Missing data,*Senior student who is a cancer survivor              ,May,Missing data,Missing data,http://www.kylelee28.com/Kyle/,5S9IQarI2WK,Missing data
Los Angeles World Affairs Council,Missing data,Missing data,"*Senior student planning on attending a 4-year college.                                                                   *Planning on pursuing a degree with an international emphasis (international business, international law, etc)                                          *Must have attended at least one council program during the last 12 months.",May,Missing data,Missing data,http://www.lawac.org/students/highschoolprogram.htm,Zf7cVCF0qFx,Missing data
Michael Berkeley Foundation Scholarship,Missing data,Missing data,*Senior student of minority status                        *Will be full-time undergraduate student in the fall                                                                     *GOLFER,May,Missing data,Missing data,http://www.mikebfoundation.org/scholarships.html,erpGRHKytOb,Missing data
Millie Brother Scholarship,Missing data,Missing data,*Hearing child of deaf parent(s),May,Missing data,Missing data,"Children of Deaf Adults International, Inc. > | Online Forms | > Scholarship application ( DNN 1.0.10 )",pWnqnuFpfrL,Missing data
Los Hermanos de Stanford,Missing data,Missing data,"* Senior Latino student graduating from high school with plans to attend any 2-year or 4-year institution of higher learning                                     * Must demonstrate academic excellence, community service, and cultural awareness                                                                     *Attending Stanford is NOT a rquirement",May,Missing data,Missing data,http://www.stanford.edu/group/hermanos/cgi-bin/newHermanosSite/layout/template/main_layout.php,AeASE3SP26V,Missing data
Louise Tumarkin Azaove Foundation,Missing data,Missing data,*ANY AGE student with a significant bilateral hearing loss                                                             *US Citizen or permanent resident,May,Missing data,Missing data,http://www.ltzfoundation.org/scholarships.php,ADyoPfJBfVi,Missing data
National Collegiate Cancer Foundation Scholarship,Missing data,Missing data,*Senior student who has/had a personal diagnosis of cancer                                               *18 years or older,May,Missing data,Missing data,http://www.collegiatecancer.org/content/view/18/58/,2AMiFOZ14yY,Missing data
NBC Universal Tony Coelho Media Scholarship,Missing data,Missing data,"*High school senior planning on pursuing a career in communications, media, or entertainment.                                                          *Self-Identify as a person with any type of disability",May,Missing data,Missing data,https://www.aapd.com/nbcuniversal-tony-coelho-media-scholarship-program/,LF8DyrMDHnE,Missing data
Nordstrom Scholarship Program,Missing data,Missing data,*JUNIOR student who resides in and attends school in LA County                                            *GPA of 2.7 or higher                                         *Demonstrates financial need                              *Deomstrates substantial contribution to community and/or school,May,Missing data,Missing data,http://shop.nordstrom.com/c/nordstrom-cares-scholarship,xFIs1hdjYTW,Missing data
Nsoro Foundation Scholarship,Missing data,Missing data,"*Senior student who will be attending 2-yr. or 4-yr. college after graduation                               *Currently in foster care or kinship care, or have aged-out of the foster care system                                        *GPA of 2.0 or higher",May,Missing data,Missing data,http://www.thenf.org/index.cfm?Page=AgedOut,oQIiPoqbCNk,Missing data
Patricia McNamara Memorial Scholarship,Missing data,Missing data,*Senior student who has overcome obstacles           *Planning on 2-yr. or 4-yr. college after graduation,May,Missing data,Missing data,http://www.patricias-scholarship.org/index.html,UB4lkj1xxFZ,Missing data
Pfizer Epilepsy Scholarship,Missing data,Missing data,*Senior student who is under doctor care for epilepsy,May,Missing data,Missing data,http://www.epilepsy-scholarship.com/,7QIZJJEyNGT,Missing data
Presidential Freedom Scholarship,Missing data,Missing data,"In order to apply for this scholarship, you need to ask the VHS scholarship coordinator for a nomination                                *Junior or senior student who has contributed at least 100 hours of community service within the past 12 months                                                               *US citizen or permanent resident                                       *Will be attending a two-year college or four-year university",May,Missing data,Missing data,http://www.learnandserve.gov/about/programs/pfs.asp,b2NfKKRF8Ph,Missing data
Sallie Mae Fund -Unmet Need Scholarship,Missing data,Missing data,"*Senior student with a combined family  income of $30,000 or less                                               *GPA of 2.5 or higher                                       *Has filled out the FAFSA form                    ",May,Missing data,Missing data,http://www.thesalliemaefund.org/projectaccess/need.html,VjB0i1AXUjD,Missing data
Santa Clarita Bruins,Missing data,Missing data,*Senior student who has been accepted to and plans on attending UCLA for the upcoming fall quarter,May,Missing data,Missing data,Application available in the counseling office scholarship drawer or contact Gary Brown at 661-513-1125,xNL8v4eEWPe,Missing data
"Scholarship Experts-""Do-Over"" Scholarship",Missing data,Missing data,*US Citizen or permanent resident                      * Must be at least 13 years old                            * Must be planning to attend a 2-yr. or 4-yr. college,May,Missing data,Missing data,http://www.scholarshipexperts.com/apply.htx,jqpBZ6jk6WC,Missing data
SCV Press Club-Randy Wicks memorial First Ammendment Scholarship,Missing data,Missing data,"*Senior student planning on enrolling full time into a 2-yr. or 4-yr. college, pursuing an undergraduate degree in a field related to the free dissemination of information, including, but not limited to:  readio, television, film, newspaper, magazine, public relation, print, graphic arts, advertising, marketing, etc.              *GPA of 2.5 of higher                                        *US citizen or permanent resident",May,Missing data,Missing data,Application available in the counseling office scholarship drawer or ask the VHS scholarship coordinator,Y7bt7sI5zCd,Missing data
Society of Women Engineers,Missing data,Missing data,*Senior FEMALE student                                    *GPA of 3.5 or higher                                           *US citizen or permanent resident                        *Planning on majoring in computer science or engineering,May,Missing data,Missing data,http://societyofwomenengineers.swe.org/scholarships,iqVmHEk0tE5,Missing data
"UC Berkeley, Delta Upsilon Scholarship-Charlie Cords Memorial Scholarship",Missing data,Missing data,*Senior male accepted to and enrolling in UC Berkeley in the fall,May,Missing data,Missing data,http://www.ducalifornia.org/scholarships/,DL4qKgMf78F,Missing data
Vera Tran Memorial Scholarship,Missing data,Missing data,*Senior student of Vietnamese descent              *US Citizen or Permanent Resident of US          * Will attend 4-year college,May,Missing data,Missing data,http://www.vietscholarships.org/vera.html,5hjg5qd9sLv,Missing data
Vietnam Vetrans of America-Mike Nash Scholarship,Missing data,Missing data,"*Senior planning on enrolling full time into a 2-year college or 4-year university                       *Student must be a child, step-child, or grandchild of a VVA member; or a child, stepchild, or grandchild of an MIA, KIA, or deceased Vietnam Vetran.",May,Missing data,Missing data,http://www.vva.org/scholarship.html,1uPElzWLk8n,Missing data
Vietnamese American Scholarship Foundation (VASF) Vera Tran Memorial Scholarship,Missing data,Missing data,*Senior planning on attending a 4-yr. college after graduation                                                      *Be of Vietnamese descent                                                               *US Citizen or Permanent US Resident                                                                 ,May,Missing data,Missing data,http://www.vietscholarships.org/scholarships.html,zjF4zzCeNBP,Missing data
We the Living Essay Contest,Missing data,Missing data,"*SOPHOMORE, JUNIOR, or senior",May,Missing data,Missing data,http://essaycontest.aynrandnovels.com/WeTheLiving.aspx?theme=blue,uWxgtviAaIk,Missing data
"Wise Choice ""Find the Right College"" Scholarship",Missing data,Missing data,"*Student is a citizen or legal resident of the United States                                                        * Must be 13 years of age or older to apply                                                           * Must graduate from high school in 2011, 2012, 2013, 2014                                                                 *Must register at WiseChoice.com                                                            * Must complete college planning tasks online at WiseChoice.com to earn eligible points                                                          ",May,Missing data,Missing data,http://www.wisechoice.com/scholarship,E83lUfIKpaV,Missing data
Abbott & Fenner Business Consultants,Missing data,Missing data,*Any senior or JUNIOR student,June,Missing data,Missing data,http://www.abbottandfenner.com/scholarships.htm,JLtrP0LwsJC,Missing data
American Vacuum Society-Southern California Chapter-Elmer Carvey Memorial Scholarship,Missing data,Missing data,*Senior who will be attending a UC or Cal State University ,June,Missing data,Missing data,http://www.sccavs.org/CarveyScholarshipApplication.pdf,2eFQWlOrRNN,Missing data
"Animation Career Review ""Aspiring Animation Professional"" Scholarship",Missing data,Missing data,"*Senior student who plans to pursue an animation-related field in college (i.e.-digital design, game design, electronic media, etc.)                 *Attending an accredited 2-yr. or 4-yr. college            ",June,Missing data,Missing data,https://www.animationcareerreview.com/animation-career-review-aspiring-animation-professional-scholarship-application,8KahoWZifZ6,Missing data
Aspiring Animation Professional Scholarship,Missing data,Missing data,*Senior student who intends to pursue an animation related field at an accredited post-secondary school or college,June,Missing data,Missing data,https://www.animationcareerreview.com/animation-career-review-aspiring-animation-professional-scholarship-application,3K1d9nN3QZf,Missing data
Aspiring Nurse Scholarship,Missing data,Missing data,*  Senior student who intends to pursue a college education in nursing.                                                                   *Excellent academic record-particularly in math and science.,June,Missing data,Missing data,https://www.nursingschoolsalmanac.com/articles/2018-aspiring-nurse-scholarship,4dkmA5rQkAK,Missing data
BBG Communications Scholarship,Missing data,Missing data,*Student between ages 16 and 21                                                                    * A US citizen                                                                    * GPA of 2.5 or higher,June,Missing data,Missing data,http://www.breylancommunications.com/bbgcommunications/132/scholarships.php,70yXar2Cv0K,Missing data
Big Sun Organization Scholarship,Missing data,Missing data,*Senior student who is a high school athlete              *Preference is given to student planning on continuing the sport at the college level.,June,Missing data,Missing data,http://www.bigsunathletics.com/,Z20MVtrJHd7,Missing data
Bill Tainter Scholarship for Students with Disabilities,Missing data,Missing data,"*Senior who has a disability (physical / mental / learning, etc)                                                                           *GPA of 2.0 or higher",June,Missing data,Missing data,http://laccod.lacounty.gov/Annual-Events/Scholarship-Program,flXPQuInliA,Missing data
California Association of Collectors,Missing data,Missing data,"*Senior planning on enrolling full time into a vocational school, a 2-yr. College, or a 4-yr. University",June,Missing data,Missing data,http://www.cacesf.org/,coVZaOZI6QY,Missing data
California Chicano New Media Association Scholarship,Missing data,Missing data,*Senior who is of Latino heritage                                                                    *Planning on attending a 2-yr. Or 4-yr. College                                                             *Planning on majoring in journalism/committed to a career in journalism,October,Missing data,Missing data,https://www.ccnma.org/scholarships,7vG3upbDfgK,Missing data
California Peace Officer's Assocation Scholarship,Missing data,Missing data,*Must be a  natural or adopted child of a deceased peace officer who gave his/her life in the line of duty. ,June,Missing data,Missing data,http://camemorial.org/scholarship.php,GfNTpUaw3LD,Missing data
Freedom Alliance Scholarship Fund,Missing data,Missing data,"*Senior student who is the dependent son or daughter of a US Soldier, Sailor, Airman, Guardsman, or Marine who has become permanently disable, killed in action, classified as a POW or MIA.",June,Missing data,Missing data,www.fascholarship.com,evR1xB7VEHF,Missing data
John Gyles Education Award,Missing data,Missing data,*Senior student planning on attending a 4-yr. college after graduation                                        *GPA of 2.7 or higher                                        *$8.00 application fee,June,Missing data,Missing data,http://www.johngyleseducationcenter.com/,0T7RddoKwB9,Missing data
Karnas Law Scholarship,Missing data,Missing data,*Senior student with a GPA of 3.0 or higher  attending an accredited US univeristy  ,June,Missing data,Missing data,https://karnaslaw.com/#scholarship,qWhnA69O0jD,Missing data
Lawrence Madeiros Scholarship,Missing data,Missing data,*Senior student diagnosed with a bleeding disorder or any other chronic disorder.  ,June,Missing data,Missing data,http://www.adirondackspintacular.com/pages2/scholarship.html,84ndknm8IsH,Missing data
OMBAR Aspiring Business Professional Scholarship,Missing data,Missing data,"*Senior student who Intends to pursue a business related field at an accredited post-secondary school or college.
*Has a demonstrable record of academic success.
*Has a passion and drive for a business career. ",June,Missing data,Missing data,http://www.onlinembareport.com/ombar-aspiring-business-professional-scholarship-program,fUASfrgBfDt,Missing data
Pharmacy Technician Review Scholarship,Missing data,Missing data,*Senior student who intends to pursue pharmacy at any accreeited post-secondary school or college.,June,Missing data,Missing data,http://www.pharmacytechnicianreview.com/aspiring-pharmacist-scholarship-program,I9eangj9LBn,Missing data
AJ Wang Foundation Scholarship,Missing data,Missing data,*Senior student attending identified community colleges in the Southern California area.                         ,June,Missing data,Missing data,http://www.ajwangfoundation.org/home,N1oAxel4TEG,Missing data
ERA New Star Realty Scholarship,Missing data,Missing data,*Senior who attends a William S. Hart School District High School                                       *Plans on enrolling in a 2-year or 4-year college                                              *Demonstrates a commitments to and involvement in volunteer community service,July,Missing data,Missing data,https://www.newstarrealty.com/scholarship,1NipoogXHW9,Missing data
iFluRtz Scholarship,Missing data,Missing data,"*Senior who has a record of innovation, leadership, achievement, and/or meeting personal challenges/making a difference in school or the larger community.                                 *Must be under the age of 20 as of December 31, 2012",July,Missing data,Missing data,http://www.iflurtz.com/storage/IEAA-scholarship.pdf,UnK1wA4UHd2,Missing data
Lending Tree Scholarship,Missing data,Missing data,*Senior student with 3.5 or higher GPA                                                                       *US citizen,July,Missing data,Missing data,https://www.lendingtree.com/about/scholarship,lPNzTuhMJnu,Missing data
Lint Center Scholarships,Missing data,Missing data,*Senior student who has been admitted to a 4-yr. university,July,Missing data,Missing data,http://lintcenter.org/scholarships/#jimanna,A4wHXdXwtVP,Missing data
Marine Corps League Scholarship,Missing data,Missing data,"*Senior student who is a child, stepchild, grandchild, or great grandchild of a Marine Corps League or Auxillary member in good standing",July,Missing data,Missing data,http://www.mcleague.com/mdp/index.php?module=ContentExpress&func=display&ceid=75,uRBRxA1VURh,Missing data
OP Loft Bed Scholarship,Missing data,Missing data,*Senior who is a US citizen                                          *Will enroll in a 2-year or 4-year college,July,Missing data,Missing data,http://www.oploftbed.com/scholarship/index.php,9w4bNyWjB5R,Missing data
Storage.com Sholarship,Missing data,Missing data,*Senior student who has a GPA of 2.5 or higher ,July,Missing data,Missing data,http://www.storage.com/scholarships/#requirements,I0VjoGiqr33,Missing data
"Scholarship Experts ""I was Born in 1994"" Scholarship",Missing data,Missing data,*Senior student who was born in the United States in 1994                                                       ,July,Missing data,Missing data,http://www.scholarshipexperts.com/applicant/showScholarshipApplication.htx?scholarshipAppId=10650&sourceId=publicApplyPage,yxWMl1Ewm5n,Missing data
Dream Scholarship,Missing data,Missing data,*Any high school student,November,Missing data,Missing data,https://www.thedream.us/scholarships/,PqRzUDGyhIt,Missing data
Free College Scholarships Sweepstakes,Missing data,Missing data,*Senior who registers on website,Ongoing,Missing data,Missing data,http://www.freecollegescholarships.net/,eW7REX6U74a,Missing data
